city, county, latitude, longitude
McNulta, Mclean, 402215N, 0882921W
Bible Grove, Clay, 385219N, 0882646W
McQueen, Kane, 420343N, 0882305W
Biddleborn, Washington, 381752N, 0894105W
McVey, Macoupin, 392323N, 0894447W
Big Bay, Massac, 371900N, 0884318W
Meadow Heights, Madison, 384130N, 0895928W
Big Foot Prairie, McHenry, 422942N, 0883556W
Meadowbrook, Madison, 385354N, 0900024W
Big Rock, Kane, 414550N, 0883249W
Meadows, Mclean, 404440N, 0884817W
Biggs, Mason, 401429N, 0895415W
Mechanicsburg, Sangamon, 394834N, 0892350W
Biggsville, Henderson, 405113N, 0905153W
Media, Henderson, 404630N, 0904955W
Billett, Lawrence, 383952N, 0873908W
Medinah, Du Page, 415853N, 0880304W
Bingham, Fayette, 390651N, 0891248W
Medora, Macoupin, 391028N, 0900835W
Binghampton, Lee, 414300N, 0891814W
Meeks, Vermilion, 395959N, 0873504W
Bingman Station, White, 380459N, 0881441W
Melody, Lake, 421425N, 0875257W
Binney, Madison, 385924N, 0894338W
Melrose, Clark, 391324N, 0874551W
Birch Island, Calhoun, 390753N, 0904052W
Melrose Park, Cook, 415402N, 0875124W
Birds, Lawrence, 385013N, 0874004W
Melville, Madison, 385613N, 0901445W
Birds, Will, 412830N, 0881150W
Melvin, Ford, 403403N, 0881452W
Birkbeck, De Witt, 401037N, 0885206W
Melwood, Edgar, 394542N, 0875149W
Birkner, St Clair, 383344N, 0900145W
Menard, Randolph, 375436N, 0895023W
Birmingham, Schuyler, 401551N, 0904915W
Mendon, Adams, 400518N, 0911701W
Bishop, Mason, 402045N, 0895229W
Mendota, La Salle, 413250N, 0890703W
Bishop Hill, Henry, 411206N, 0900708W
Menominee, Jo Daviess, 422916N, 0903159W
Bismarck, Vermilion, 401550N, 0873629W
Meppen, Calhoun, 385949N, 0903617W
Bissell, Sangamon, 395046N, 0893454W
Meredith, Kane, 415358N, 0883225W
Bixby, St Clair, 382935N, 0901325W
Meredosia, Morgan, 394952N, 0903334W
Black, Edwards, 382804N, 0880610W
Meriden, La Salle, 413417N, 0890200W
Blackhawk, Carroll, 421115N, 0901326W
Mermet, Massac, 371623N, 0885046W
Blackland, Macon, 394541N, 0890614W
Merna, Mclean, 403100N, 0884933W
Blackstone, Livingston, 410504N, 0884127W
Merriam, Wayne, 382145N, 0881638W
Blaine, Boone, 422649N, 0884811W
Merrionette Park, Cook, 414103N, 0874201W
Blair, Livingston, 410612N, 0881831W
Merritt, Scott, 394252N, 0902457W
Blair, Randolph, 380241N, 0894431W
Metamora, Woodford, 404726N, 0892138W
Blairsville, Hamilton, 381006N, 0882751W
Metcalf, Edgar, 394804N, 0874826W
Blairsville, Williamson, 374840N, 0890725W
Metropolis, Massac, 370904N, 0884355W
